回数,賞,曲,歌手
59,優秀作品賞,手をつなぐ理由,西野カナ
59,優秀作品賞,願いごとの持ち腐れ,AKB48
59,優秀作品賞,LIFE,AAA
59,優秀作品賞,RAIN,SEKAI NO OWARI
59,日本レコード大賞,インフルエンサー,乃木坂46
60,レコード大賞,シンクロニシティ,乃木坂46
60,優秀作品賞,アンビバレント,欅坂46
60,優秀作品賞,いごっそ魂,三山ひろし
60,優秀作品賞,Wake Me Up,TWICE
60,優秀作品賞,サザンカ,SEKAI NO OWARI
60,優秀作品賞,勝負の花道,氷川きよし
60,優秀作品賞,シンクロニシティ,乃木坂46
60,優秀作品賞,Teacher Teacher,AKB48
60,優秀作品賞,Be Myself,三浦大知
60,優秀作品賞,Bedtime Story,西野カナ
60,優秀作品賞,U.S.A,DA PUMP
61,レコード大賞,パプリカ,Foorin
61,優秀作品賞,ECHO,Little Glee Monster
61,優秀作品賞,片隅,三浦大知
61,優秀作品賞,黒い羊,欅坂46
61,優秀作品賞,サステナブル,AKB48
61,優秀作品賞,純烈のハッピーバースデー,純烈
61,優秀作品賞,Sing Out!,乃木坂46
61,優秀作品賞,大丈夫,氷川きよし
61,優秀作品賞,ドレミソラシド,日向坂46
61,優秀作品賞,P.A.R.T.Y.〜ユニバース・フェスティバル〜,DA PUMP
61,優秀作品賞,パプリカ,Foorin
62,レコード大賞,炎,LiSA
62,優秀作品賞,I'm Here,三浦大知
62,優秀作品賞,愛をください～Don’t you cry~,純烈
62,優秀作品賞,足跡,Little Glee Monster
62,優秀作品賞,香水,瑛人
62,優秀作品賞,世界中の隣人よ,乃木坂46
62,優秀作品賞,猫,DISH//
62,優秀作品賞,離れていても,AKB48
62,優秀作品賞,母,氷川きよし
62,優秀作品賞,Fantasista～ファンタジスタ～,DA PUMP
62,優秀作品賞,炎,LiSA
63,レコード大賞,CITRUS,Da-iCE
63,優秀作品賞,明け星,LiSA
63,優秀作品賞,君がそばにいるから,純烈
63,優秀作品賞,ごめんねFingers crossed,乃木坂46
63,優秀作品賞,CITRUS,Da-iCE
63,優秀作品賞,Take a picture,NiziU
63,優秀作品賞,Dream on the street,DA PUMP
63,優秀作品賞,根も葉もRumor,AKB48
63,優秀作品賞,Backwards,三浦大知
63,優秀作品賞,Happy!,氷川きよし
63,優秀作品賞,勿忘,Awesome City Club
